# ARISE Variable Summary
# Generated on: 2024-11-05 20:44:56.656847
# Source: /teamspace/s3_connections/ncar-cesm2-arise-bucket/CESM2-WACCM-SSP245/b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001/atm/proc/tseries/month_1
# Total variables: 1007
# Total files: 2014
# Time format: Monthly

========================================================================================================================
Variable             Frequency    # Files    Time Range                                        
========================================================================================================================
ABSORB               h0           2          201501-206412 → 206501-210012
ACBZO2               h0           2          201501-206412 → 206501-210012
ACTREL               h0           2          201501-206412 → 206501-210012
ADRAIN               h0           2          201501-206412 → 206501-210012
ADSNOW               h0           2          201501-206412 → 206501-210012
AEROD_v              h0           2          201501-206412 → 206501-210012
ALKNIT               h0           2          201501-206412 → 206501-210012
ALKO2                h0           2          201501-206412 → 206501-210012
ALKOOH               h0           2          201501-206412 → 206501-210012
ANRAIN               h0           2          201501-206412 → 206501-210012
ANSNOW               h0           2          201501-206412 → 206501-210012
AOA1                 h0           2          201501-206412 → 206501-210012
AOA2                 h0           2          201501-206412 → 206501-210012
AOA_NH               h0           2          201501-206412 → 206501-210012
AODABSdn             h0           2          201501-206412 → 206501-210012
AODBCdn              h0           2          201501-206412 → 206501-210012
AODDUST              h0           2          201501-206412 → 206501-210012
AODDUST1             h0           2          201501-206412 → 206501-210012
AODDUST2             h0           2          201501-206412 → 206501-210012
AODDUST3             h0           2          201501-206412 → 206501-210012
AODNIRstdn           h0           2          201501-206412 → 206501-210012
AODPOMdn             h0           2          201501-206412 → 206501-210012
AODSO4dn             h0           2          201501-206412 → 206501-210012
AODSOAdn             h0           2          201501-206412 → 206501-210012
AODSSdn              h0           2          201501-206412 → 206501-210012
AODUVdn              h0           2          201501-206412 → 206501-210012
AODUVstdn            h0           2          201501-206412 → 206501-210012
AODVIS               h0           2          201501-206412 → 206501-210012
AODVISdn             h0           2          201501-206412 → 206501-210012
AODVISstdn           h0           2          201501-206412 → 206501-210012
AODdnDUST1           h0           2          201501-206412 → 206501-210012
AODdnDUST2           h0           2          201501-206412 → 206501-210012
AODdnDUST3           h0           2          201501-206412 → 206501-210012
AODdnMODE1           h0           2          201501-206412 → 206501-210012
AODdnMODE2           h0           2          201501-206412 → 206501-210012
AODdnMODE3           h0           2          201501-206412 → 206501-210012
AQRAIN               h0           2          201501-206412 → 206501-210012
AQSNOW               h0           2          201501-206412 → 206501-210012
AQ_SO2               h0           2          201501-206412 → 206501-210012
AREA                 h0           2          201501-206412 → 206501-210012
AREI                 h0           2          201501-206412 → 206501-210012
AREL                 h0           2          201501-206412 → 206501-210012
AWNC                 h0           2          201501-206412 → 206501-210012
AWNI                 h0           2          201501-206412 → 206501-210012
BCARY                h0           2          201501-206412 → 206501-210012
BENZENE              h0           2          201501-206412 → 206501-210012
BENZO2               h0           2          201501-206412 → 206501-210012
BENZOOH              h0           2          201501-206412 → 206501-210012
BEPOMUC              h0           2          201501-206412 → 206501-210012
BIGALD               h0           2          201501-206412 → 206501-210012
BIGALD1              h0           2          201501-206412 → 206501-210012
BIGALD2              h0           2          201501-206412 → 206501-210012
BIGALD3              h0           2          201501-206412 → 206501-210012
BIGALD4              h0           2          201501-206412 → 206501-210012
BIGALK               h0           2          201501-206412 → 206501-210012
BIGENE               h0           2          201501-206412 → 206501-210012
BR                   h0           2          201501-206412 → 206501-210012
BRCL                 h0           2          201501-206412 → 206501-210012
BRO                  h0           2          201501-206412 → 206501-210012
BRONO2               h0           2          201501-206412 → 206501-210012
BROX                 h0           2          201501-206412 → 206501-210012
BROY                 h0           2          201501-206412 → 206501-210012
BRY                  h0           2          201501-206412 → 206501-210012
BTAUE                h0           2          201501-206412 → 206501-210012
BTAUN                h0           2          201501-206412 → 206501-210012
BTAUNET              h0           2          201501-206412 → 206501-210012
BTAUS                h0           2          201501-206412 → 206501-210012
BTAUW                h0           2          201501-206412 → 206501-210012
BTTGWSDF             h0           2          201501-206412 → 206501-210012
BTTGWSKE             h0           2          201501-206412 → 206501-210012
BTTGWSPEC            h0           2          201501-206412 → 206501-210012
BURDENBCdn           h0           2          201501-206412 → 206501-210012
BURDENDUSTdn         h0           2          201501-206412 → 206501-210012
BURDENPOMdn          h0           2          201501-206412 → 206501-210012
BURDENSEASALTdn      h0           2          201501-206412 → 206501-210012
BURDENSO4dn          h0           2          201501-206412 → 206501-210012
BURDENSOAdn          h0           2          201501-206412 → 206501-210012
BUTGWSPEC            h0           2          201501-206412 → 206501-210012
BVTGWSPEC            h0           2          201501-206412 → 206501-210012
BZALD                h0           2          201501-206412 → 206501-210012
BZOO                 h0           2          201501-206412 → 206501-210012
BZOOH                h0           2          201501-206412 → 206501-210012
C2H2                 h0           2          201501-206412 → 206501-210012
C2H4                 h0           2          201501-206412 → 206501-210012
C2H5O2               h0           2          201501-206412 → 206501-210012
C2H5OH               h0           2          201501-206412 → 206501-210012
C2H5OOH              h0           2          201501-206412 → 206501-210012
C2H6                 h0           2          201501-206412 → 206501-210012
C3H6                 h0           2          201501-206412 → 206501-210012
C3H7O2               h0           2          201501-206412 → 206501-210012
C3H7OOH              h0           2          201501-206412 → 206501-210012
C3H8                 h0           2          201501-206412 → 206501-210012
C6H5O2               h0           2          201501-206412 → 206501-210012
C6H5OOH              h0           2          201501-206412 → 206501-210012
CCL4                 h0           2          201501-206412 → 206501-210012
CCN3                 h0           2          201501-206412 → 206501-210012
CDNUMC               h0           2          201501-206412 → 206501-210012
CF2CLBR              h0           2          201501-206412 → 206501-210012
CF3BR                h0           2          201501-206412 → 206501-210012
CFC11                h0           2          201501-206412 → 206501-210012
CFC113               h0           2          201501-206412 → 206501-210012
CFC114               h0           2          201501-206412 → 206501-210012
CFC115               h0           2          201501-206412 → 206501-210012
CFC11STAR            h0           2          201501-206412 → 206501-210012
CFC11_CHML           h0           2          201501-206412 → 206501-210012
CFC12                h0           2          201501-206412 → 206501-210012
CFC12_CHML           h0           2          201501-206412 → 206501-210012
CH2BR2               h0           2          201501-206412 → 206501-210012
CH2O                 h0           2          201501-206412 → 206501-210012
CH3BR                h0           2          201501-206412 → 206501-210012
